Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
1	19730785	19737127	VIT_01s0010g02690
7	14553744	14555824	VIT_07s0197g00060
8	20908476	20908768	VIT_08s0007g07310
19	7105576	7108433	VIT_19s0090g01000
4	18389407	18393847	VIT_04s0023g01800
16	589796	590371	VIT_16s0039g01080
1	7939985	7941785	VIT_01s0127g00570
4	16612765	16613548	VIT_04s0023g00400
8	17357008	17361697	VIT_08s0007g03400
4	18370614	18382069	VIT_04s0023g01790
13	18253705	18264650	VIT_13s0047g01200
19	8086568	8088423	VIT_19s0015g00110
Un	21219262	21220985	VIT_00s0283g00050
19	1012164	1014297	VIT_19s0014g00960
Un	9199845	9201310	VIT_00s0187g00290
7	528389	530082	VIT_07s0141g00920
9	11960802	11962271	VIT_09s0096g00510
9	5188496	5189937	VIT_09s0002g05430
Un	24337025	24352444	VIT_00s0340g00080
8	19482695	19484048	VIT_08s0007g05580
7	20499299	20503949	VIT_07s0130g00210
6	16500480	16501356	VIT_06s0009g03280
12	17572544	17577468	VIT_12s0034g01520
1	21171238	21174927	VIT_01s0010g03790
2	3870916	3876265	VIT_02s0025g04400
14	11729359	11730824	VIT_14s0036g01090
5	3179095	3181190	VIT_05s0020g01480
13	5428850	5430227	VIT_13s0019g04140
7	14352576	14362050	VIT_07s0255g00040
3	18523042	18524661	VIT_03s0017g02000
17	10194161	10198491	VIT_17s0000g08790
14	14215951	14216699	VIT_14s0006g00440
2	798757	802286	VIT_02s0025g00780
7	15914286	15914867	VIT_07s0129g00670
4	10548897	10552163	VIT_04s0079g00240
12	11433649	11434784	VIT_12s0057g01620
18	22618344	22638666	VIT_18s0075g00880
15	17375822	17379543	VIT_15s0046g00380
5	19817318	19818964	VIT_05s0062g01150
1	1425294	1426434	VIT_01s0011g01620
1	19616036	19617701	VIT_01s0010g02560
3	19092645	19104371	VIT_03s0017g02300
19	22155094	22157209	VIT_19s0027g01880
11	14929249	14964895	VIT_11s0065g00940
19	22820501	22826911	VIT_19s0085g00450
2	5148071	5157542	VIT_02s0154g00330
1	4919070	4920160	VIT_01s0011g05290
Un	17741398	17746417	VIT_00s0253g00050
7	13079368	13081589	VIT_07s0095g00520
6	6813956	6829322	VIT_06s0004g06020
12	3143749	3144766	VIT_12s0028g02410
18	1474564	1474728	VIT_18s0001g00710
5	2482793	2483986	VIT_05s0020g00590
11	3289562	3294574	VIT_11s0016g04040
15	13735914	13737731	VIT_15s0021g02700
7	2021042	2022271	VIT_07s0104g00890
6	4580727	4584943	VIT_06s0004g03620
1	7943139	7945596	VIT_01s0127g00590
16	20602346	20605962	VIT_16s0098g00170
10	5295718	5301804	VIT_10s0003g03160
15	18769640	18771309	VIT_15s0046g01930
9	14628656	14629126	VIT_09s0070g00840
8	17474437	17477988	VIT_08s0007g03540
6	8843648	8845413	VIT_06s0004g08080
8	20474633	20492921	VIT_08s0007g06820
18_random	1329726	1329929	VIT_18s0001g00430
18	7733604	7734243	VIT_18s0001g09240
16	5200379	5205994	VIT_16s0013g00260
14	14061564	14086310	VIT_14s0006g00420
8	1032372	1034024	VIT_08s0056g00720
18	13488810	13490580	VIT_18s0001g15340
3	2985909	2990105	VIT_03s0038g04120
Un	41007023	41007382	VIT_00s2077g00010
1	5765341	5767653	VIT_01s0011g06010
18_random	3349504	3350171	VIT_18s0001g03500
4	17832626	17863952	VIT_04s0023g01360
18	3401893	3411144	VIT_18s0001g03610
17	3235698	3236379	VIT_17s0000g03360
13	247988	257075	VIT_13s0067g00400
9	3038580	3040981	VIT_09s0002g03360
18_random	4187451	4193740	VIT_18s0001g05190
17	7092785	7094410	VIT_17s0000g06540
7	4961796	4967138	VIT_07s0005g02650
4	11587680	11589329	VIT_04s0079g00710
3	6212329	6214039	VIT_03s0180g00260
8	15939404	15943241	VIT_08s0007g01850
7	14952241	14954822	VIT_07s0191g00180
5	2173476	2174462	VIT_05s0020g00340
2	2479859	2482813	VIT_02s0025g02890
3	7050934	7055804	VIT_03s0091g00610
3	398696	406451	VIT_03s0038g00430
19	1805453	1807492	VIT_19s0014g01680
8	1994011	1994628	VIT_08s0056g01260
19	12136405	12137703	VIT_19s0015g02330
18	12377314	12378089	VIT_18s0001g14400
10	17652784	17684869	VIT_10s0071g01000
12	3072679	3074174	VIT_12s0028g02320
6	355847	359776	VIT_06s0004g00220
12	5668615	5670120	VIT_12s0059g00860
17	7414876	7417080	VIT_17s0000g06790
11	7736680	7740785	VIT_11s0037g00080
4	19667698	19672635	VIT_04s0023g03100
3	12897934	12901269	VIT_03s0110g00150
13	22738899	22741441	VIT_13s0064g00880
12	14336942	14340703	VIT_12s0055g00920
8	17384323	17389168	VIT_08s0007g03440
2	1521946	1527565	VIT_02s0025g01580
15	15953148	15959209	VIT_15s0048g01760
12	5128944	5132250	VIT_12s0059g00260
18	24595027	24596218	VIT_18s0041g00210
13	24230177	24233016	VIT_13s0156g00550
14	3215339	3216361	VIT_14s0128g00690
3	3308724	3311907	VIT_03s0038g04520
15	11889242	11900553	VIT_15s0021g01460
11	12726626	12742514	VIT_11s0078g00430
13	5602037	5604892	VIT_13s0019g04280
Un	42446119	42446629	VIT_00s2594g00010
2	5409566	5410351	VIT_02s0488g00030
18	3338337	3340959	VIT_18s0001g03470
1	11680976	11686951	VIT_01s0026g02230
8	10719515	10719793	VIT_08s0058g01240
6	1828850	1850267	VIT_06s0004g01480
8	9639023	9639911	VIT_08s0058g00550
4	23624397	23627351	VIT_04s0044g01800
14	24498868	24504221	VIT_14s0068g00710
13	17348250	17352181	VIT_13s0047g00760
18	764518	766080	VIT_18s0122g01120
13	448334	455249	VIT_13s0067g00780
13_random	2450247	2465001	VIT_13s0019g00380
7	6868624	6882992	VIT_07s0005g03870
19	18056453	18061402	VIT_19s0027g00010
13	3570930	3573535	VIT_13s0019g02300
17	419129	419605	VIT_17s0000g00640
16	13956188	13962579	VIT_16s0022g01770
8	11103933	11105590	VIT_08s0040g00170
5	22843173	22845239	VIT_05s0102g00880
18	6802513	6803784	VIT_18s0001g08300
7	4947084	4953012	VIT_07s0005g02630
8	2654168	2659915	VIT_08s0056g01660
12	21976925	21996433	VIT_12s0035g01810
14	1175091	1176374	VIT_14s0060g01490
11	14220218	14221031	VIT_11s0065g00430
9	1487220	1492889	VIT_09s0002g01650
Un	16105314	16107592	VIT_00s0233g00160
2	4737989	4745361	VIT_02s0241g00090
4	22176307	22182054	VIT_04s0044g00920
14	11291132	11302549	VIT_14s0036g00920
12	18244520	18246373	VIT_12s0034g02060
17	4771717	4773002	VIT_17s0000g04530
9	20055526	20056102	VIT_09s0018g02120
1	10284104	10289443	VIT_01s0026g01300
Un	18748877	18750492	VIT_00s0261g00040
17	9346519	9349115	VIT_17s0000g08260
12	910423	915231	VIT_12s0028g00310
4	2562745	2563700	VIT_04s0008g03090
11	7847123	7851170	VIT_11s0037g00160
12	21733058	21733792	VIT_12s0035g01650
Un	31749776	31750390	VIT_00s0557g00010
Un	23670650	23671706	VIT_00s0332g00030
9	9571452	9574374	VIT_09s0002g08510
10	5908182	5913058	VIT_10s0003g03510
9	16793442	16794311	VIT_09s0018g00570
17	8375837	8381026	VIT_17s0000g07430
16	8893144	8896818	VIT_16s0013g01790
8	14537966	14541290	VIT_08s0007g00160
14	13205171	13235118	VIT_14s0006g00100
16	3675478	3676083	VIT_16s0115g00110
14	26798226	26801642	VIT_14s0066g00260
12	3462915	3470939	VIT_12s0028g02670
12	21126928	21127032	VIT_12s0035g01300
5	9150851	9151789	VIT_05s0049g01710
5	10139019	10141541	VIT_05s0051g00010
8	5783406	5792115	VIT_08s0032g01190
8	20978933	20983964	VIT_08s0007g07450
4	8638636	8639289	VIT_04s0069g00660
17	3607716	3610714	VIT_17s0000g03670
14	5471198	5471359	VIT_14s0030g01070
1	6028424	6029565	VIT_01s0011g06230
5	9849972	9851044	VIT_05s0049g02240
10	731564	734518	VIT_10s0116g01390
6	5163664	5173222	VIT_06s0004g04200
7	16346440	16362558	VIT_07s0031g00130
14	3185338	3186328	VIT_14s0128g00620
2	12528921	12529307	VIT_02s0109g00180
5	19770345	19774798	VIT_05s0062g01110
2	17582979	17584459	VIT_02s0087g00320
1	2766597	2767444	VIT_01s0011g03090
18	11425591	11427332	VIT_18s0001g13400
6	4265287	4267184	VIT_06s0004g03420
18	22922051	22923081	VIT_18s0075g01040
7	2908223	2914681	VIT_07s0005g00100
2	4870560	4875244	VIT_02s0154g00080
11	6489422	6498313	VIT_11s0118g00720
Un	13410895	13412629	VIT_00s0214g00150
13	2328003	2328955	VIT_13s0019g00160
1	2235673	2237099	VIT_01s0011g02450
13	122713	126313	VIT_13s0067g00180
14	20728918	20730985	VIT_14s0006g02710
10	2088872	2091080	VIT_10s0003g00830
14	7688167	7746031	VIT_14s0081g00150
6	13976420	13977709	VIT_06s0009g01850
13_random	1950698	1962866	VIT_13s0067g03490
9	6876610	6878811	VIT_09s0002g06970
19	22403179	22403322	VIT_19s0085g00100
4	630031	630585	VIT_04s0008g00700
9	13521416	13522967	VIT_09s0070g00360
15	19747879	19751398	VIT_15s0046g03150
7	2157089	2168943	VIT_07s0104g01070
15	124100	125350	VIT_15s0024g00040
1	506835	513187	VIT_01s0011g00540
16	13817178	13819671	VIT_16s0022g01710
14	28470400	28474898	VIT_14s0066g02260
14	2977898	2978893	VIT_14s0128g00350
12	9095568	9097431	VIT_12s0057g00530
16	19665952	19669287	VIT_16s0050g02650
10_random	725404	726593	VIT_10s0116g01370
17	7556257	7557953	VIT_17s0000g06900
Un	76664	77919	VIT_00s0120g00070
6	1235354	1243082	VIT_06s0004g01140
12	16561902	16567192	VIT_12s0034g00760
9	5115505	5122760	VIT_09s0002g05370
8	15771473	15777230	VIT_08s0007g01690
14	22677598	22687861	VIT_14s0083g00630
16	21822211	21823097	VIT_16s0098g01730
16	19347138	19354229	VIT_16s0050g02410
7	6891453	6892917	VIT_07s0005g03890
19	9372902	9376364	VIT_19s0015g01200
5	10940651	10941540	VIT_05s0051g00400
7	18405754	18406721	VIT_07s0031g02280
7	3365325	3368216	VIT_07s0005g00730
6	4995327	4997467	VIT_06s0004g04010
5	4285179	4290172	VIT_05s0020g02600
17	1436683	1439286	VIT_17s0000g01870
16	11462797	11464363	VIT_16s0022g00430
12	16121710	16128881	VIT_12s0034g00520
7	18230775	18231430	VIT_07s0031g02080
3	1235713	1237448	VIT_03s0038g01770
Un	26977150	26978957	VIT_00s0386g00060
7_random	914799	918602	VIT_07s0151g00440
11	7127716	7130572	VIT_11s0149g00240
3	2729683	2731911	VIT_03s0038g03740
11	6216649	6228997	VIT_11s0118g00470
5	15921763	15933092	VIT_05s0029g00740
4	4900533	4906011	VIT_04s0008g05460
18	29341793	29342811	VIT_18s0089g01440
10_random	92751	99263	VIT_10s0116g00190
15	1455845	1459049	VIT_15s0024g00760
7	16984194	16986176	VIT_07s0031g00850
12	6048343	6054691	VIT_12s0059g01130
9	6551512	6552732	VIT_09s0002g06630
17	5631989	5638188	VIT_17s0000g05140
7	12406257	12406940	VIT_07s0095g00050
9	18503190	18505665	VIT_09s0018g01440
17	14231694	14232098	VIT_17s0053g00010
12	3371890	3373415	VIT_12s0028g02600
7	1720137	1737224	VIT_07s0104g00480
12	8209311	8210764	VIT_12s0134g00590
14	15623296	15623490	VIT_14s0006g00810
Un	16091054	16091930	VIT_00s0233g00100
8	18038023	18039925	VIT_08s0007g04040
19	1244366	1245948	VIT_19s0014g01090
12	2459848	2461510	VIT_12s0028g01830
6	7667530	7669004	VIT_06s0004g06950
Un	7399484	7404530	VIT_00s0179g00130
13	24238955	24242791	VIT_13s0156g00560
8	13371289	13371837	VIT_08s0040g02270
7	15768417	15796141	VIT_07s0129g00540
6	7524259	7527500	VIT_06s0004g06820
4	3767960	3777662	VIT_04s0008g04370
13	17530264	17531004	VIT_13s0047g00850
Un	21271686	21273449	VIT_00s0285g00020
17	9722879	9726791	VIT_17s0000g08510
4	4716191	4719252	VIT_04s0008g05210
2	4802060	4803142	VIT_02s0241g00180
16	11280909	11281763	VIT_16s0022g00350
9	16096735	16101724	VIT_09s0018g00250
7	7947970	7951618	VIT_07s0005g04700
Un	28036731	28037309	VIT_00s0410g00040
13	3557849	3558613	VIT_13s0019g02290
17	2538338	2540895	VIT_17s0000g02750
7	13976340	13976971	VIT_07s0289g00100
11	2744496	2748583	VIT_11s0016g03370
7	11272364	11273150	VIT_07s0005g06250
13	22605252	22605344	VIT_13s0064g00820
5	4071964	4073022	VIT_05s0020g02380
18	1238507	1246252	VIT_18s0001g00230
18	13848186	13855092	VIT_18s0001g15710
15	18665965	18673988	VIT_15s0046g01840
10	1825699	1826751	VIT_10s0003g00590
9	10567117	10568023	VIT_09s0002g09010
17	1498508	1502145	VIT_17s0000g01920
16	21183195	21186806	VIT_16s0098g00860
17	8646605	8661032	VIT_17s0000g07680
18	11729964	11734394	VIT_18s0001g13710
13	17318404	17321300	VIT_13s0047g00740
Un	37329955	37333609	VIT_00s0983g00010
Un	42545810	42546217	VIT_00s2630g00010
2	4509488	4511103	VIT_02s0025g05050
19	9349248	9351841	VIT_19s0015g01190
1	9525636	9530188	VIT_01s0026g00740
1	22387939	22389253	VIT_01s0146g00520
15	2592629	2593706	VIT_15s0024g01340
14	1885537	1888008	VIT_14s0060g02310
6	19994940	19996136	VIT_06s0080g00200
13	1738803	1742112	VIT_13s0067g03150
7	1085738	1086479	VIT_07s0151g00830
5	17105424	17126793	VIT_05s0029g01220
5	6967446	6967893	VIT_05s0020g05020
18	13303082	13304738	VIT_18s0001g15190
6	14217726	14226707	VIT_06s0009g02000
4	19605037	19607046	VIT_04s0023g03010
14	25238927	25244770	VIT_14s0068g01530
14	26922206	26927737	VIT_14s0066g00420
4	18009469	18011027	VIT_04s0023g01460
18	28924140	28924766	VIT_18s0089g01030
14	29409934	29423532	VIT_14s0108g00710
2	14046367	14047003	VIT_02s0033g00310
Un	42578832	42580809	VIT_00s2642g00010
15	18449365	18454092	VIT_15s0046g01510
14	337945	340857	VIT_14s0060g00350
16	1295347	1303631	VIT_16s0039g01680
11	4831931	4836537	VIT_11s0016g05460
Un	31241977	31245195	VIT_00s0525g00050
18	6438836	6441781	VIT_18s0001g07970
17	2535135	2535855	VIT_17s0000g02740
16	9004685	9005356	VIT_16s0013g01860
5	7226153	7227068	VIT_05s0049g00160
14	27781258	27782132	VIT_14s0066g01330
10	2488960	2491437	VIT_10s0003g01120
14	3937023	3943227	VIT_14s0030g00170
7	14530500	14551297	VIT_07s0197g00050
Un	334646	337025	VIT_00s0120g00100
4	20985266	20986429	VIT_04s0044g00290
13	364941	375613	VIT_13s0067g00670
2	10426524	10430565	VIT_02s0012g02680
Un	22072629	22075050	VIT_00s0299g00070
Un	40754708	40755637	VIT_00s1945g00010
7	17331331	17334995	VIT_07s0031g01250
14	16137480	16138807	VIT_14s0006g01040
1	2898690	2906357	VIT_01s0011g03200
18	4014840	4015257	VIT_18s0001g04810
14	28196377	28207993	VIT_14s0066g01910
12	9792187	9794439	VIT_12s0057g01120
12	22011275	22029410	VIT_12s0035g01830
8	18921028	18924094	VIT_08s0007g05010
13_random	2360524	2387299	VIT_13s0019g00220
15	18731177	18735110	VIT_15s0046g01900
7	3291781	3298888	VIT_07s0005g00630
14	608276	611596	VIT_14s0060g00710
1	6068466	6076289	VIT_01s0011g06270
Un	30356945	30357864	VIT_00s0485g00010
7	734677	735964	VIT_07s0151g00030
11	3888012	3891011	VIT_11s0016g04580
9	4871700	4873548	VIT_09s0002g05190
Un	14654524	14656344	VIT_00s0225g00100
11	4602442	4606774	VIT_11s0016g05260
1	8275280	8276291	VIT_01s0127g00880
19	1585964	1592311	VIT_19s0014g01490
Un	38490496	38492516	VIT_00s1314g00010
7	17820774	17829343	VIT_07s0031g01740
8	10943314	10943558	VIT_08s0040g00030
19	4603005	4605633	VIT_19s0014g04320
2	15809499	15810179	VIT_02s0033g00920
18_random	2054520	2056601	VIT_18s0001g01490
13	22342959	22345525	VIT_13s0064g00600
18	4970021	4973908	VIT_18s0001g06590
12	9762881	9766576	VIT_12s0057g01090
8	1539562	1542128	VIT_08s0056g01050
7	3482971	3484188	VIT_07s0005g00870
18	20264229	20266325	VIT_18s0072g00890
15	18829552	18832272	VIT_15s0046g02020
Un	27030296	27031604	VIT_00s0388g00050
5	7549843	7550323	VIT_05s0049g00500
9	10857491	10857658	VIT_09s0002g09160
3	3165510	3173838	VIT_03s0038g04360
15	5310801	5312538	VIT_15s0045g00450
16	16737610	16755228	VIT_16s0100g01260
5	9998919	10002078	VIT_05s0049g02310
5	7173926	7175120	VIT_05s0049g00110
14	5094731	5100392	VIT_14s0030g00870
3	2491621	2500119	VIT_03s0038g03440
Un	42364685	42366748	VIT_00s2564g00010
18	29018757	29021753	VIT_18s0089g01120
17	10568632	10569354	VIT_17s0000g09000
13_random	1328307	1334085	VIT_13s0067g02430
16	3553742	3554155	VIT_16s0115g00020
15	18402549	18407810	VIT_15s0046g01420
14	22465090	22468501	VIT_14s0083g00400
Un	30311461	30311837	VIT_00s0483g00040
5	1198504	1202977	VIT_05s0077g01500
9	6544703	6547518	VIT_09s0002g06610
12	2906944	2910682	VIT_12s0028g02150
19	4507989	4516227	VIT_19s0014g04210
1	4742652	4743585	VIT_01s0011g05100
10	6712174	6713150	VIT_10s0003g03940
Un	38161354	38164171	VIT_00s1247g00020
8	19740547	19746119	VIT_08s0007g05870
18	10634115	10634962	VIT_18s0001g12410
17	11172396	11176645	VIT_17s0000g09500
5	2495248	2508587	VIT_05s0020g00620
14	25675598	25678907	VIT_14s0068g02040
Un	32646830	32649179	VIT_00s0598g00020
1	3235418	3237772	VIT_01s0011g03580
Un	23672893	23675566	VIT_00s0332g00040
15	150042	160420	VIT_15s0024g00070
19	8779588	8786074	VIT_19s0015g00700
3	2122899	2124044	VIT_03s0038g03010
17	16245900	16246154	VIT_17s0053g00790
Un	34388291	34393188	VIT_00s0698g00010
3	12256603	12270440	VIT_03s0167g00070
12_random	37804	55230	VIT_12s0142g00050
4	4193426	4196291	VIT_04s0008g04760
9	21536098	21536891	VIT_09s0054g00710
Un	35058387	35059447	VIT_00s0753g00030
3	4592696	4600590	VIT_03s0063g01110
11	9710832	9712078	VIT_11s0037g00930
18	27936394	27938714	VIT_18s0089g00200
1	4878809	4879096	VIT_01s0011g05240
7	6588694	6612091	VIT_07s0005g03690
18	28305735	28320509	VIT_18s0089g00520
Un	34542651	34545831	VIT_00s0710g00020
5	21215253	21216009	VIT_05s0124g00620
8	16282372	16286429	VIT_08s0007g02250
Un	17121749	17122428	VIT_00s0246g00070
1	6622467	6624298	VIT_01s0137g00070
15	18809217	18809620	VIT_15s0046g01990
15	19592622	19595151	VIT_15s0046g02870
13_random	635965	636195	VIT_13s0067g01160
10	13474394	13476958	VIT_10s0042g00540
9	4178643	4180147	VIT_09s0002g04610
6	2030667	2031478	VIT_06s0004g01620
3	5353484	5354872	VIT_03s0063g02090
Un	37298375	37304708	VIT_00s0981g00010
19	2605535	2606203	VIT_19s0014g02520
18	1420077	1429082	VIT_18s0001g00560
13	19378820	19387382	VIT_13s0084g00510
8	22209761	22212045	VIT_08s0007g08840
5	18881483	18890603	VIT_05s0062g00650
18	3349225	3350592	VIT_18s0001g03490
Un	31821982	31830211	VIT_00s0559g00010
12	5400849	5410844	VIT_12s0059g00550
13_random	957025	959518	VIT_13s0067g01730
10	7733376	7752662	VIT_10s0003g04460
8	15087828	15094362	VIT_08s0007g00940
8	13986884	13988546	VIT_08s0040g02990
17	4080303	4081546	VIT_17s0000g04040
18	19508376	19517778	VIT_18s0072g00330
11	2881444	2885216	VIT_11s0016g03540
1	7654830	7654874	VIT_01s0127g00280
17	9117577	9119099	VIT_17s0000g08110
13	9237993	9239486	VIT_13s0074g00790
13	5933463	5936866	VIT_13s0019g04500
19	6133013	6134771	VIT_19s0177g00280
19	15084146	15088859	VIT_19s0135g00230
13	1496969	1497976	VIT_13s0067g02750
3	3900266	3903036	VIT_03s0063g00330
10	17148505	17158098	VIT_10s0071g00670
6	5757473	5760369	VIT_06s0004g04830
15	17321737	17322484	VIT_15s0046g00310
11	6678841	6682711	VIT_11s0118g00830
18	397222	397844	VIT_18s0122g00460
4	1721616	1721856	VIT_04s0008g02110
2	978512	986913	VIT_02s0025g01010
17	8466299	8517548	VIT_17s0000g07530
1	9424059	9437682	VIT_01s0026g00650
9	5754639	5757788	VIT_09s0002g05940
18	2861119	2864695	VIT_18s0001g02640
9	6501025	6504291	VIT_09s0002g06580
13	21341230	21347448	VIT_13s0158g00410
12	20955727	20959744	VIT_12s0035g01150
13	20564535	20567699	VIT_13s0139g00320
10	8816037	8816258	VIT_10s0003g04920
5	21698253	21703725	VIT_05s0165g00260
4_random	39974	40850	VIT_04s0008g00110
8	13955013	13956213	VIT_08s0040g02920
Un	35411707	35413967	VIT_00s0790g00020
Un	14064177	14071702	VIT_00s0218g00150
13	1583942	1588478	VIT_13s0067g02960
8	1407275	1407953	VIT_08s0056g00900
1	448552	451702	VIT_01s0011g00440
12	20065567	20066543	VIT_12s0035g00650
9	4364715	4372122	VIT_09s0002g04790
Un	43098112	43099478	VIT_00s2839g00010
8	21345765	21348737	VIT_08s0007g07930
5	8957987	8959060	VIT_05s0049g01580
9	22838506	22849196	VIT_09s0054g01770
6	11743011	11747586	VIT_06s0009g00810
3	9083004	9083780	VIT_03s0088g00880
9	21518781	21535560	VIT_09s0054g00700
1	2951539	2951847	VIT_01s0011g03250
15	15859833	15863061	VIT_15s0048g01660
13	2465293	2465658	VIT_13s0019g00410
12	9035961	9037116	VIT_12s0057g00430
4	17468067	17473892	VIT_04s0023g01050
16	6563525	6564248	VIT_16s0013g00880
15	11882680	11884138	VIT_15s0021g01450
14	16203503	16205739	VIT_14s0006g01090
18	22496399	22496981	VIT_18s0075g00800
6	7418557	7422349	VIT_06s0004g06710
1	22258668	22259400	VIT_01s0146g00390
10	11859669	11910043	VIT_10s0092g00350
5	10613066	10624943	VIT_05s0051g00160
3	11397436	11402211	VIT_03s0132g00070
17	2877711	2879479	VIT_17s0000g03050
15	15062594	15072177	VIT_15s0048g00930
15	9382587	9385209	VIT_15s0021g00110
Un	14688460	14693479	VIT_00s0225g00140
4	4793095	4794952	VIT_04s0008g05310
2	5125409	5126097	VIT_02s0154g00290
14	1109202	1113913	VIT_14s0060g01410
4	19196688	19199859	VIT_04s0023g02660
7_random	1378682	1379252	VIT_07s0104g00070
7	9213672	9216078	VIT_07s0005g05240
6	1139834	1142936	VIT_06s0004g01030
6	1615854	1629526	VIT_06s0004g01370
12	14448034	14449637	VIT_12s0055g00980
13	5481531	5501540	VIT_13s0019g04170
Un	1137089	1137345	VIT_00s0125g00020
6	19550559	19636937	VIT_06s0061g01610
Un	42482323	42483677	VIT_00s2607g00010
9	4065775	4072589	VIT_09s0002g04480
Un	27738823	27739737	VIT_00s0404g00070
7	5172499	5175759	VIT_07s0005g02830
6	21340808	21342715	VIT_06s0080g01160
13	507039	514125	VIT_13s0067g00900
14	788614	789198	VIT_14s0060g01040
1	12404428	12404707	VIT_01s0026g02670
Un	16298092	16298497	VIT_00s0238g00110
5_random	292358	300820	VIT_05s0077g00480
12	8133213	8135180	VIT_12s0134g00500
Un	1929272	1946560	VIT_00s0125g00270
9	9506830	9516709	VIT_09s0002g08470
5	23649929	23657967	VIT_05s0094g00330
2	13170779	13171708	VIT_02s0109g00400
14	27118108	27119063	VIT_14s0066g00620
6	18435773	18458816	VIT_06s0061g00900
13	13445999	13451653	VIT_13s0073g00160
Un	40377976	40378303	VIT_00s1751g00010
18	26155193	26155303	VIT_18s0041g01390
8	20217453	20219575	VIT_08s0007g06460
11	6322268	6327895	VIT_11s0118g00540
12	1242568	1246511	VIT_12s0028g00680
19	9727939	9736265	VIT_19s0015g01400
6	5930838	5932814	VIT_06s0004g04970
16	21395038	21395826	VIT_16s0098g01150
19	22922082	22923674	VIT_19s0085g00540
10	4785865	4801642	VIT_10s0003g02730
17	11466372	11469645	VIT_17s0000g09690
14	20721259	20722787	VIT_14s0006g02700
Un	24083888	24092821	VIT_00s0337g00080
Un	41417853	41419217	VIT_00s2240g00010
6	344489	349182	VIT_06s0004g00210
16_random	537834	538559	VIT_16s0039g00980
11	771978	773764	VIT_11s0016g00860
8	1504614	1506667	VIT_08s0056g01030
6	17367719	17371343	VIT_06s0061g00150
1	7688128	7688497	VIT_01s0127g00320
17	4910772	4920587	VIT_17s0000g04660
15	15396917	15399138	VIT_15s0048g01250
11	6233189	6263965	VIT_11s0118g00480
17	477612	483524	VIT_17s0000g00720
13	16977874	16982542	VIT_13s0047g00610
12	8202839	8204215	VIT_12s0134g00580
10	822151	829404	VIT_10s0116g01520
13	9555456	9556768	VIT_13s0106g00170
17	10586377	10589842	VIT_17s0000g09020
4	19432324	19432922	VIT_04s0023g02850
14	13116639	13122838	VIT_14s0006g00070
10	5963273	5968899	VIT_10s0003g03530
18	2885819	2894159	VIT_18s0001g02710
10	13273708	13274785	VIT_10s0042g00410
4	2838182	2842457	VIT_04s0008g03430
17	979928	991034	VIT_17s0000g01390
16	13303988	13305889	VIT_16s0022g01330
11	4271091	4272924	VIT_11s0016g04960
6	20354182	20362215	VIT_06s0080g00400
11	407973	411961	VIT_11s0016g00400
15	13850306	13851398	VIT_15s0021g02800
17	878171	881093	VIT_17s0000g01230
5	5771294	5772292	VIT_05s0020g04110
19	1343943	1345043	VIT_19s0014g01220
12	9648953	9651335	VIT_12s0057g00960
13	4108657	4109160	VIT_13s0019g02920
Un	21604652	21608898	VIT_00s0287g00080
Un	38017002	38017652	VIT_00s1224g00020
14	9761720	9762454	VIT_14s0036g00300
2	7404742	7405490	VIT_02s0012g01310
11	4233708	4234671	VIT_11s0016g04920
4	13311651	13319110	VIT_04s0043g00240
2	16907202	16934203	VIT_02s0033g01410
18	18930346	18934536	VIT_18s0157g00140
8	10305196	10307003	VIT_08s0058g00960
2	6879277	6879984	VIT_02s0012g00950
7	17421427	17423794	VIT_07s0031g01340
9	3943956	3947824	VIT_09s0002g04300
6	13684790	13698878	VIT_06s0009g01710
17	11958389	11967008	VIT_17s0000g09970
16	1740019	1751171	VIT_16s0039g01820
10	1262013	1262151	VIT_10s0405g00060
10	510760	511468	VIT_10s0116g01040
4	6521612	6531625	VIT_04s0008g06560
8	12902284	12906851	VIT_08s0040g01780
11	2465060	2466978	VIT_11s0016g03060
6	4494335	4498190	VIT_06s0004g03590
10_random	308600	320128	VIT_10s0116g00700
1	2281193	2282179	VIT_01s0011g02500
9	8843749	8856331	VIT_09s0002g08230
13	7258024	7258475	VIT_13s0019g05370
4	18597200	18597684	VIT_04s0023g02100
8	21315834	21320655	VIT_08s0007g07890
5	85362	86460	VIT_05s0077g00160
14	3208604	3209607	VIT_14s0128g00670
4	20771155	20773106	VIT_04s0044g00080
14	157232	159126	VIT_14s0060g00170
11	18570410	18571470	VIT_11s0052g00940
Un	12551722	12556459	VIT_00s0207g00280
7	16796117	16803926	VIT_07s0031g00620
16	20023875	20024809	VIT_16s0148g00090
Un	35515451	35518041	VIT_00s0802g00020
7	10438860	10441028	VIT_07s0005g05960
10	12614652	12617255	VIT_10s0092g00770
12	18833912	18835057	VIT_12s0034g02370
12	12474528	12476770	VIT_12s0121g00370
9	12741554	12741952	VIT_09s0096g01000
5	10143147	10149603	VIT_05s0051g00020
17	15915218	15917742	VIT_17s0053g00670
13	4796650	4799071	VIT_13s0019g03640
12	8553766	8555219	VIT_12s0178g00130
14	4289795	4291795	VIT_14s0030g00430
5	23497084	23501131	VIT_05s0094g00130
18	11297040	11299715	VIT_18s0001g13250
4	20752277	20765631	VIT_04s0044g00070
14	9271219	9272696	VIT_14s0081g00770
13_random	3196363	3201758	VIT_13s0019g01850
